t,theta,theta_dot,KE,PE,E,E_minus_E0
5.715,0.05729135555130645,0.2565681665673387,0.032913612047862834,0.016095275477493624,0.049008887525356454,-2.510972102465203e-07
5.72,0.05856712224561404,0.2537282670140129,0.032189016740967115,0.016819870143550488,0.0490088868845176,-2.5173804910072484e-07
5.7250000000000005,0.05982853618206647,0.25082624714247415,0.03145690312778876,0.01755198412289469,0.04900888725068345,-2.51371883253082e-07
5.73,0.06107528884539827,0.2478628197477744,0.030717988706658855,0.018290899628639612,0.04900888833529847,-2.50287268230287e-07
5.735,0.06230707318287675,0.2448387181406912,0.029972998950388414,0.01903589098490427,0.049008889935292684,-2.486872740167789e-07
5.74,0.06352358637816258,0.24175468920054843,0.029222664875226886,0.01978622689211732,0.04900889176734421,-2.4685522249240366e-07
5.745,0.06472452985405816,0.23861149336757914,0.02846772238355313,0.02054117113546268,0.049008893519015814,-2.4510355088602775e-07
5.75,0.06590960927250772,0.23540990464292544,0.027708911601995623,0.021299983290804857,0.049008894892800484,-2.4372976621667153e-07
5.755,0.06707853453459726,0.2321507105886386,0.026946976213404916,0.022061919429256192,0.04900889564266111,-2.4297990559168925e-07
5.76,0.06823101978055457,0.22883471232767888,0.026182662783045773,0.022826232819925216,0.04900889560297099,-2.43019595710936e-07
5.765,0.0693667833897492,0.22546272454391572,0.02541672007938281,0.023592174630444288,0.0490088947098271,-2.4391273960311377e-07
5.7700000000000005,0.07048554798069272,0.22203557548212705,0.024649898389839667,0.02435899462484083,0.0490088930146805,-2.4560788620259233e-07
5.775,0.07158704041103783,0.2185541069480017,0.023882948831919285,0.025125941858351434,0.049008890690270715,-2.479322959852981e-07
5.78,0.07267099177757969,0.2150191743081358,0.023116622660076244,0.025892265368760468,0.04900888802883671,-2.5059372998903484e-07
5.785,0.07373713741625496,0.21143164649003515,0.022351670568743598,0.026657214863889788,0.04900888543263339,-2.5318993331080453e-07
5.79,0.07478521690214214,0.20779240598211468,0.021588841991917983,0.027420041404817925,0.04900888339673591,-2.5522583078918526e-07
5.795,0.0758149740494615,0.2041023488336984,0.020828884399716353,0.028179998084474845,0.0490088824841912,-2.5613837550259033e-07
5.8,0.07682615816624509,0.20036237786979375,0.020072541232819006,0.028936341645893465,0.04900888287871247,-2.5574385423277057e-07
5.805,0.07781852233028201,0.19657340743399912,0.01932055225510651,0.029688331896474015,0.04900888415158053,-2.544709861718175e-07
5.8100000000000005,0.0787918221582605,0.19273637263529117,0.018573654668304906,0.030435231395356144,0.04900888606366105,-2.525589056501243e-07
5.815,0.07974581840565563,0.18885221858467663,0.01783258023217724,0.031176308060699584,0.04900888829287682,-2.503296898798135e-07
5.82,0.080680276980745,0.1849219003297447,0.017098054610782017,0.03191083587349768,0.0490088904842797,-2.4813828700120943e-07
5.825,0.081594968944608,0.18094638285466952,0.01637079673409432,0.03263809556156989,0.04900889229566421,-2.463269024935433e-07
5.83,0.0824896705111261,0.17692664108020967,0.01565151816196267,0.03335737527376404,0.04900889343572671,-2.451868399908075e-07
5.835,0.08336416304698271,0.1728636598637081,0.014940922450737885,0.034067971243950286,0.04900889369468817,-2.4492787852742337e-07
5.84,0.08421823307166326,0.16875843399909224,0.014239704522912986,0.03476918844444716,0.04900889296736015,-2.4565520655162043e-07
5.845,0.08505167225745519,0.1646119682168738,0.013548550040116535,0.035460341228483405,0.04900889126859994,-2.473539667605107e-07
5.8500000000000005,0.08586427742944809,0.16042527718414812,0.012868134779805378,0.03614075396135463,0.04900888874116001,-2.4988140669146564e-07
5.855,0.08665585056553313,0.15619938550459728,0.012199124016006898,0.036809761639901274,0.04900888565590817,-2.5296665853019595e-07
5.86,0.08742619879640388,0.15193532771848542,0.011542171904461782,0.0374667104999767,0.04900888240443848,-2.562181282209086e-07
5.865,0.08817513440555583,0.14763414830266186,0.010897920872526178,0.03811095861155914,0.04900887948408532,-2.5913848138159334e-07
5.87,0.08890247482928644,0.14329690167056025,0.010267001014191106,0.03874187646120146,0.049008877475392565,-2.611471741353899e-07
5.875,0.089608042708911,0.13892465159257875,0.009650029410059695,0.03935884756731811,0.04900887697737781,-2.6164518888982524e-07
